url,page,title,post_time,content
https://www.mobile01.com/topicdetail.php?f=804&t=6746417,3,日月峰-瘋投資,2023-02-23 23:42,20230329開高走低震盪接明後兩日方向見1.大盤在狹幅震盪中 忽多忽空需小心操作2.明天開始敢買的資金就會放過節看看方向到底是上還是下3.美股現在上漲中 或許會有戲....5475 盤中接4% 運氣不錯漲停
https://www.mobile01.com/topicdetail.php?f=804&t=6746417,3,日月峰-瘋投資,67001,20230330量縮觀望五日上權值撐盤黑手出1.因昨日美股強勁 站上五日均線2.上漲量縮大戶明顯縮手不玩 連假前需小心一堆開高走低3.美股還是上漲中很強勢..
https://www.mobile01.com/topicdetail.php?f=804&t=6746417,3,日月峰-瘋投資,2023-03-29 23:36,20230407量縮觀望又一週兩日量增可關注1.本周周K收小黑十字線2.量縮很大大家都在觀望3.如果個股這周兩日有量增可以關心 其他不用想太多
https://www.mobile01.com/topicdetail.php?f=804&t=6746417,3,日月峰-瘋投資,#21,20230410量縮穩盤收小紅持穩靜待國際漲1.又是量縮小紅...就持續盤整2.今日權值受壓但中小繼續強勁...3.國際盤因日本央行下跌中....
https://www.mobile01.com/topicdetail.php?f=804&t=6746417,3,日月峰-瘋投資,2023-03-30 23:57,20230411量增多頭慢慢上本週注意新高創1.大盤慢慢緩步向上漲 方向多頭無意外2.權值2330受壓 中小型股百花齊放...3.盤後國際股市等美國數據 明日CPI參考參考總是有人早知道..
https://www.mobile01.com/topicdetail.php?f=804&t=6746417,3,日月峰-瘋投資,#22,20230412緩慢嘎上萬六近中小齊噴台積弱1.多頭...沒什麼好說的 現在就是多頭2.因台積電利空與控盤因素影響 台積今日依舊下跌但是中小狂噴 尤其是電機類股噴到沒人性....3.美國CPI果然好轉為5% 台灣黑手控盤早已預料但是看起來指數尚在震盪不穩 或許是盤後發言的波動...
https://www.mobile01.com/topicdetail.php?f=804&t=6746417,3,日月峰-瘋投資,2023-04-09 22:53,20230413出量壓低內資賣未知利空提早見1.指數量增下跌中 跌破5/10MA 回看月線支撐但目前在多頭架構中故不用太擔心2.多日內資賣壓果然是因為國安基金退場因素使得台股今日世界弱....3.軍工繼續很扯狂噴 但不斷爆量要注意漲多回檔本週預計尚不會有太大變動...
https://www.mobile01.com/topicdetail.php?f=804&t=6746417,3,日月峰-瘋投資,#23,20230414量穩價增週棒紅反轉日出齊聲漲1.日K反轉吞噬紅 轉強多2.周K反轉日出紅 轉強多3.期貨不斷往上探萬六...你還需要什麼數字呢...?手上有三個紅燈 開心的一天
https://www.mobile01.com/topicdetail.php?f=804&t=6746417,3,日月峰-瘋投資,2023-04-10 23:34,20230417台積拉尾中小飽爆噴漲停家家高1.周日紅K上漲還不錯2.今天結不少檔 開心 ^^3.50多家漲停 最後2330五千張拉尾拉5元...或許可能有戲?跟上周很像差一點三檔漲停不過在今日50多家漲停來說看起來弱了一點..
https://www.mobile01.com/topicdetail.php?f=804&t=6746417,3,日月峰-瘋投資,#24,20230418量增殺尾麻煩至盤整回覆月線待1.量增殺尾盤是又回到盤整區間2.中小有點過熱 但有持續輪動可以注意一下 軍工輪去光通訊3.2330週四法說可能會有兩種狀況 一來拉積 二來小崩
